sesi,jam,ada_jukir,okupansi_pct,total_mendekat,total_masuk,total_balk,p_balk_observasi,catatan
1,11,True,71.0,21,17,4,0.19,DUMMY - ganti dengan observasi langsung
2,11,True,45.0,35,31,4,0.114,DUMMY - ganti dengan observasi langsung
3,12,True,59.6,21,18,3,0.143,DUMMY - ganti dengan observasi langsung
4,8,True,90.2,19,14,5,0.263,DUMMY - ganti dengan observasi langsung
5,11,True,33.9,25,22,3,0.12,DUMMY - ganti dengan observasi langsung
6,11,True,72.7,22,18,4,0.182,DUMMY - ganti dengan observasi langsung
7,18,True,95.1,41,32,9,0.22,DUMMY - ganti dengan observasi langsung
8,17,True,38.1,18,14,4,0.222,DUMMY - ganti dengan observasi langsung
9,12,True,89.7,18,11,7,0.389,DUMMY - ganti dengan observasi langsung
10,8,True,66.8,39,22,17,0.436,DUMMY - ganti dengan observasi langsung
11,13,True,58.1,16,13,3,0.188,DUMMY - ganti dengan observasi langsung
12,13,True,70.4,43,30,13,0.302,DUMMY - ganti dengan observasi langsung
