id_kendaraan,jenis,jam_masuk,durasi_menit,ada_jukir,catatan
VH0001,mobil,10,13.5,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0002,mobil,7,11.5,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0003,motor,14,12.6,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0004,motor,7,14.8,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0005,motor,10,18.0,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0006,mobil,7,8.0,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0007,motor,8,7.9,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0008,motor,13,23.0,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0009,motor,18,10.8,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0010,motor,17,6.5,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0011,mobil,8,16.5,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0012,motor,7,16.7,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0013,motor,11,6.2,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0014,mobil,16,14.8,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0015,mobil,17,19.1,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0016,mobil,18,16.0,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0017,motor,11,18.2,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0018,motor,9,6.6,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0019,motor,7,15.6,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0020,motor,9,11.4,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0021,mobil,7,10.4,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0022,motor,19,20.5,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
