id_responden,jenis_kendaraan,spending_rp,catatan
R0001,motor,13000,DUMMY - ganti dengan survei/data kasir
R0002,motor,37000,DUMMY - ganti dengan survei/data kasir
R0003,motor,19000,DUMMY - ganti dengan survei/data kasir
R0004,motor,46000,DUMMY - ganti dengan survei/data kasir
R0005,motor,66000,DUMMY - ganti dengan survei/data kasir
R0006,mobil,40000,DUMMY - ganti dengan survei/data kasir
R0007,motor,24000,DUMMY - ganti dengan survei/data kasir
R0008,motor,36000,DUMMY - ganti dengan survei/data kasir
R0009,mobil,5000,DUMMY - ganti dengan survei/data kasir
R0010,motor,5000,DUMMY - ganti dengan survei/data kasir
R0011,motor,65000,DUMMY - ganti dengan survei/data kasir
R0012,motor,41000,DUMMY - ganti dengan survei/data kasir
R0013,motor,22000,DUMMY - ganti dengan survei/data kasir
R0014,motor,34000,DUMMY - ganti dengan survei/data kasir
R0015,motor,25000,DUMMY - ganti dengan survei/data kasir
R0016,motor,37000,DUMMY - ganti dengan survei/data kasir
R0017,motor,26000,DUMMY - ganti dengan survei/data kasir
R0018,mobil,80000,DUMMY - ganti dengan survei/data kasir
R0019,mobil,115000,DUMMY - ganti dengan survei/data kasir
R0020,motor,47000,DUMMY - ganti dengan survei/data kasir
R0021,motor,64000,DUMMY - ganti dengan survei/data kasir
R0022,motor,42000,DUMMY - ganti dengan survei/data kasir
R0023,motor,35000,DUMMY - ganti dengan survei/data kasir
R0024,motor,67000,DUMMY - ganti dengan survei/data kasir
R0025,motor,31000,DUMMY - ganti dengan survei/data kasir
R0026,motor,5000,DUMMY - ganti dengan survei/data kasir
R0027,motor,51000,DUMMY - ganti dengan survei/data kasir
R0028,motor,40000,DUMMY - ganti dengan survei/data kasir
R0029,motor,35000,DUMMY - ganti dengan survei/data kasir
R0030,motor,51000,DUMMY - ganti dengan survei/data kasir
R0031,motor,26000,DUMMY - ganti dengan survei/data kasir
R0032,mobil,5000,DUMMY - ganti dengan survei/data kasir
R0033,motor,52000,DUMMY - ganti dengan survei/data kasir
R0034,mobil,55000,DUMMY - ganti dengan survei/data kasir
